Country,GDP Per Capita,Total GDP,Developing Country,Developing Country Binary,,Tests Performed,Test.per.pop,Tests Per Thousand,,Alcoholic Beverages_fat,Animal Products_fat,Animal fats_fat,"Aquatic Products, Other_fat",Cereals_fat,Eggs_fat,Fish.Seafood_fat,Fruits_fat,Meat_fat,Miscellaneous_fat,Milk_fat,Offals_fat,Oilcrops_fat,Pulses_fat,Spices_fat,Starchy Roots_fat,Stimulants_fat,Sugar Crops_fat,Sugar.Sweeteners_fat,Treenuts_fat,Vegetal Products_fat,Vegetable Oils_fat,Vegetables_fat,,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,,Mortality Rate,,Alcoholic Beverages_kcal,Animal Products_kcal,Animal fats_kcal,"Aquatic Products, Other_kcal",Cereals _kcal,Eggs_kcal,Fish.Seafood_kcal,Fruits_kcal,Meat_kcal,Milk_kcal,Miscellaneous_kcal,Offals_kcal,Oilcrops_kcal,Pulses_kcal,Spices_kcal,Starchy Roots_kcal,Stimulants_kcal,Sugar Crops_kcal,Sugar.Sweeteners_kcal,Treenuts_kcal,Vegetal Products_kcal,Vegetable Oils_kcal,Vegetables_kcal,,Alcoholic Beverages_kg,Animal fats_kg,Animal Products_kg,"Aquatic Products, Other_kg",Cereals_kg,Eggs_kg,Fish.Seafood_kg,Fruits_kg,Meat_kg,Milk_kg,Miscellaneous_kg,Offals_kg,Oilcrops_kg,Pulses_kg,Spices_kg,Starchy Roots_kg,Stimulants_kg,Sugar.Sweeteners_kg,Sugar Crops_kg,Treenuts_kg,Vegetable Oils_kg,Vegetables_kg,Vegetal Products_kg,,Alcoholic Beverages_protein,Animal Products_protein,Animal fats_protein,"Aquatic Products, Other_protein",Cereals_protein,Eggs_protein,Fish.Seafood_protein,Fruits_protein,Meat_protein,Milk_protein,Offals_protein,Oilcrops_protein,Pulses_protein,Spices_protein,Starchy Roots_protein,Stimulants_protein,Sugar Crops_protein,Sugar.Sweeteners_protein,Treenuts_protein,Vegetal Products_protein,Vegetable Oils_protein,Vegetables_protein,Miscellaneous_protein
Bahamas,32.22,"12,424.50",N,0,,,0,0,,0,30.2259,4.56,0,3.6327,1.2829,1.4991,0.8995,17.4941,0.3556,5.1318,0.258,2.6077,0.0209,0.2719,0.0349,0.9343,0,0,0.4532,19.7741,10.1659,0.3974,,32.1,0,0.022879177,0.002827763,0.006683805,0.013367609,389000,,12.35955056,,2.9145,14.793,1.4205,0,10.7274,0.6613,1.2491,4.4575,8.1803,2.988,1.0776,0.2694,1.0287,0.1225,0.2204,0.7103,0.4164,0,8.6701,0.1714,35.2437,3.1594,1.5185,,2.0175,0.0062,11.4718,9.00E-04,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0,0.0495,0.511,7.7649,38.5229,,0.0325,34.1684,0.0895,0,7.8081,1.6755,5.734,1.8788,20.4311,4.8312,1.4152,0.8052,0.2765,0.244,0.366,0.4311,0,0,0.1464,15.8276,0.0325,2.6759,1.1305
Bangladesh,1.7,"274,024.96",Y,1,,99644,0.000608822,0.608821571,,0,9.8365,1.2369,0,6.9946,1.2664,2.1646,0.427,1.8407,0.0147,3.2249,0.1178,0.6332,0.5448,1.0602,0.2209,0.0295,0.0147,0,0.2651,40.1561,29.6422,0.3092,,3.4,14.7,0.006677583,0.000111812,0.000857228,0.005708542,163667000,,1.674444139,,0,2.3695,0.1541,0,37.5265,0.2312,0.8284,0.655,0.3468,0.7706,0.0193,0.0385,0.1348,1.2329,0.5009,1.9264,0.0193,0.0193,1.4255,0.1156,47.6401,3.429,0.6165,,0.0031,0.0156,5.1926,0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,,0,9.9195,0.0083,0,31.7243,0.7216,5.8306,0.3069,1.2773,1.8578,0.2239,0.5972,3.2512,0.7465,1.9574,0.1161,0.0083,0.0332,0.1078,40.0846,0,1.2026,0.0249
Barbados,17.95,"5,145.00",N,0,,,0,0,,0,25.8451,3.9733,0,2.1187,1.213,1.806,0.4636,13.1382,0.3235,5.6176,0.097,3.2616,0.2318,0.3181,0.1078,0.6038,0,0,0.7817,24.1576,15.6882,0.2534,,24.8,3.9,0.028571429,0.002439024,0.016376307,0.009756098,287000,,8.536585366,,1.1224,12.0877,1.157,0,15.3514,0.5871,1.416,1.934,5.664,3.1428,0.8979,0.1036,1.1915,1.2606,0.2936,1.7095,0.2936,0,8.0815,0.2763,37.9209,4.4552,1.0534,,3.565,0.2212,12.4976,0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0,0.0852,0.8677,5.4725,37.5167,,0.1344,28.2153,0.112,0,12.3067,1.4508,6.6939,0.689,13.9872,5.3944,0.5826,1.2324,2.6608,0.3137,1.4228,0.3585,0,0,0.2465,21.7791,0.028,1.4844,0.9075
Belarus,6.29,"59,662.50",Y,1,,229466,0.024238513,24.23851273,,0,23.8181,7.8662,0,4.8075,1.5772,0.5151,0.2316,11.5636,0.0519,2.0644,0.2316,0.4392,0,0.016,0.1957,0.8385,0,0,1.0462,26.1859,18.2119,0.3394,,26.6,2.3,0.193831203,0.001130242,0.039833104,0.152867857,9467000,,0.583106267,,3.2979,12.2644,2.6748,0,14.2705,0.8511,0.4863,1.3982,5.7143,2.1884,0.1672,0.3495,0.228,0,0.0152,4.9848,0.3951,0,4.6049,0.4255,37.7204,6.1246,1.8389,,3.7563,0.3353,12.7089,0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0,0.1399,0.8804,8.7859,37.2904,,0.3401,27.0935,0.1328,0,13.7248,2.2901,2.4548,0.441,14.2402,6.0202,1.9554,0.5207,0.0053,0.0213,4.1552,0.3029,0,0,0.3454,22.9065,0.0213,2.8587,0.17
Belgium,47.52,"542,761.09",N,0,,418438,0.036519288,36.51928783,,0,26.7378,12.6234,0,1.3531,1.1703,0.6188,0.2373,5.6817,0,6.5057,0.1379,0.5226,0.0353,0.0994,0.077,0.0834,0,0,1.2056,23.2622,19.3504,0.2982,,24.5,1,0.440818642,0.069959853,0.108579159,0.26227963,11458000,,15.87043893,,2.3089,14.1587,4.7771,0,13.0441,0.69,0.5971,1.38,3.2776,4.6311,0,0.1858,0.2389,0.2919,0.0929,2.1895,0.1194,0,6.8073,0.5573,35.8413,7.0727,1.7383,,5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0,0.1309,0.564,6.8161,32.2637,,0.5466,28.4976,0.4678,0,13.7687,1.9599,2.999,0.6156,10.0507,11.9121,1.0981,0.2216,0.6993,0.1182,1.9304,0.4235,0,0.0049,0.5417,21.5098,0.1133,2.5213,0
Belize,4.88,"1,871.20",Y,1,,,0,0,,0,23.7877,9.8102,0,3.051,0.6759,0.4155,0.3039,10.3435,0.1984,2.5053,0.031,1.4511,0.3783,0.0496,0.031,0.8062,0,0,0.3845,26.2123,19.3538,0.2108,,22.4,7.5,0.004411765,0.000490196,0.003921569,0,408000,,11.11111111,,1.5199,9.1752,2.6135,0,18.9064,0.2966,0.3707,2.5209,3.9481,1.8906,0.519,0.0371,0.6117,2.2799,0.0371,0.5005,0.2966,0,7.6367,0.1297,40.8526,5.1158,0.7414,,3.3803,0.0832,8.6856,0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0,0.034,1.0198,4.7721,41.3122,,0.201,18.9431,0.0893,0,18.6156,0.9378,2.3074,1.5035,10.748,4.5999,0.2531,1.7864,5.9918,0.0521,0.4094,0.2903,0,0,0.1265,31.0607,0.0372,1.3844,0.6624
Benin,0.9015,"10,354.27",Y,1,,,0,0,,0,6.1742,0.4816,0,4.6952,0.2064,0.8599,0.1978,3.2849,0.0258,1.2469,0.0946,7.3007,0.6535,2.597,1.0835,0.1118,0,0,1.9176,43.8301,24.8775,0.3612,,8.2,10.1,0.00081349,1.69E-05,0.000423693,0.00037285,11801000,,2.083333333,,1.7604,2.4864,0.0907,0,18.4755,0.0544,0.5263,0.7623,1.1978,0.5263,0.0544,0.0726,1.8693,1.6515,1.0163,14.4646,0.0181,0,1.4338,0.5082,47.5318,4.6461,0.853,,5.9019,0.0132,3.7504,0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0,0.4028,0.7381,4.1964,46.2493,,0.7448,11.1646,0.0078,0,18.3955,0.225,3.6853,0.3491,5.6948,1.094,0.45,3.2508,4.275,1.6293,7.7818,0.0233,0,0,0.5741,38.8393,0,1.7457,0.0698
Bolivia,3.55,"40,287.65",Y,1,,7972,0.000695031,0.695030514,,0,30.4177,4.1685,0,2.7296,1.5174,0.1831,0.5407,21.1476,0.0436,3.2703,0.1395,1.3604,0.2093,0.1483,0.4796,0.7849,0,0,0.7413,19.5779,12.3485,0.1919,,18.7,17.1,0.015710549,0.000749782,0.00163034,0.013330427,11470000,,4.772475028,,0.7859,10.0255,0.9133,0,21.644,0.5523,0.1062,2.4214,6.7545,1.6355,0.1274,0.085,0.4036,0.9133,0.085,3.5472,0.2761,0,5.6924,0.7859,39.9533,2.6551,0.6372,,2.8956,0.0889,11.7799,0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0,0.7084,0.3573,3.2224,38.2165,,0.1826,22.6898,0.0219,0,18.0364,1.461,0.5552,0.9131,17.0794,3.2143,0.3506,0.5114,2.0747,0.1023,3.4772,0.4894,0,0,0.431,27.3139,0.0146,0.9204,0.1607
Bosnia and Herzegovina,6.07,"20,161.87",Y,1,,,0,0,,0,24.6478,2.4453,0,3.6588,0.8354,0.3049,0.5976,9.6957,0.0915,11.2629,0.1037,0.9208,0.2012,2.2196,0.1342,2.4819,0,0,0.9574,25.3552,13.2996,0.7866,,19.4,1.2,0.055711423,0.002261666,0.026080733,0.027369024,3493000,,4.059609455,,3.8856,9.0561,0.5507,0,21.233,0.2907,0.1836,1.8969,3.0289,4.8799,0.1989,0.1071,0.306,0.7802,1.0402,2.264,0.8414,0,3.0289,0.2601,40.9515,2.9524,2.264,,4.7876,0.0585,12.4319,0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0,0.0822,0.4205,11.6394,37.5645,,0.5332,18.3339,0.0633,0,19.2578,0.7918,0.8341,0.7338,6.7096,9.3808,0.5543,0.6863,1.6998,1.3461,1.8582,0.9449,0,0.0053,0.2059,31.6634,0.0158,4.1651,0.2164
Botswana,8.26,"18,616.02",Y,1,,,0,0,,0,16.9634,4.131,0,7.183,0.2697,0.3622,0.1696,3.4759,0.1927,8.5241,0.2081,1.1715,0.1156,0.5472,0.1927,0.7399,0,0,0.1541,33.0328,22.3815,0.185,,16.1,26.4,0.001007446,4.38E-05,0.000350416,0.000613228,2283000,,4.347826087,,1.5598,8.1197,1.047,0,22.3932,0.1068,0.1923,1.0256,1.8803,4.6795,0.4487,0.2137,0.4915,0.5769,0.3419,2.6709,0.2564,0,5.9402,0.0427,41.8803,5.4915,0.641,,4.2717,0.3402,14.4486,0,11.432,0.1402,0.3551,2.8465,2.284,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,9.00E-04,0.015,1.0065,4.0558,35.5491,,0.3682,20.29,0.1534,0,21.8932,0.3299,0.8208,0.3759,8.3615,9.3971,1.2274,1.5572,1.3194,0.4066,1.7413,0.3068,0,0,0.0384,29.71,0.0153,1.189,0.4986
Brazil,8.92,"1,868,626.09",Y,1,,,0,0,,0,24.8515,4.3627,0,1.1278,0.7706,0.1886,0.2528,14.292,0,5.1654,0.0763,1.7097,0.2528,0.008,0.1204,0.1164,0.0361,0.012,0.1766,25.1445,21.2153,0.1204,,22.3,1.4,0.055154014,0.003792062,0.023035656,0.028326295,209332000,,6.875406002,,1.4314,13.2061,1.5238,0,14.5913,0.4464,0.2309,1.7239,7.1571,3.7402,0,0.1077,0.7234,2.0317,0.0154,1.7854,0.1385,0.1847,6.326,0.077,36.8016,7.2033,0.5541,,4.3629,0.2803,17.347,0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,6.00E-04,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,,0.2807,29.0557,0.1266,0,12.1671,1.1831,1.3537,0.7759,18.7486,7.0053,0.6383,0.4788,4.7326,0.022,0.864,0.6879,0.022,0.0165,0.066,20.9443,0.022,0.8089,0
Bulgaria,9.27,"65,132.95",Y,1,,51768,0.007421935,7.421935484,,0,27.1456,8.0274,0,1.8485,1.2201,0.3404,0.2723,9.3523,0.0262,7.9698,0.2356,1.6547,0.0471,0.6179,0.0367,0.1885,0,0,0.3404,22.8518,17.5787,0.2461,,27.4,3.6,0.024430108,0.001146953,0.004903226,0.018379928,6975000,,4.694835681,,3.6782,12.29,2.458,0,17.931,0.5836,0.2829,1.7683,4.3148,4.3855,0.0884,0.2653,0.6366,0.3537,1.2202,0.9019,0.2122,0,4.6508,0.1415,37.7188,5.252,0.8665,,7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0,0.0797,0.7085,6.2037,32.7435,,0.6659,24.988,0.24,0.012,17.5666,1.6079,1.3379,0.7499,11.6331,8.7833,1.3739,0.7619,0.7859,1.6319,0.6959,0.588,0,0,0.132,25.012,0.024,1.3139,0.096
Burkina Faso,0.7151,"14,124.78",Y,1,,,0,0,,0,7.2367,0.5981,0,10.5524,0.4061,0.3692,0.0443,3.5741,0.0148,2.1636,0.1255,11.9406,0.5391,0.096,0.0369,0.0222,0,0,0.2658,42.7706,19.1774,0.0665,,4.5,20,0.00338566,0.000236209,0.002696718,0.000452734,20321000,,6.976744186,,2.5188,2.7946,0.1287,0,31.6051,0.1471,0.2574,0.1471,1.1583,1.0112,0.0368,0.0919,3.6771,2.4269,0.0552,0.478,0.0184,0,1.765,0.0735,47.1962,4.2103,0.2022,,15.3706,0.0231,4.6611,0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0,0.0712,0.9503,1.5036,45.3359,,1.366,7.1846,0.0066,0,29.1784,0.4466,1.4842,0.0591,2.975,1.7666,0.5057,5.7595,5.6019,0.0657,0.2496,0.0328,0,0,0.0854,42.8121,0,0.3809,0.0394
Cabo Verde,3.64,"1,976.81",Y,1,,,0,0,,0,21.9578,4.2923,0,5.1318,0.8468,0.5256,0.1898,9.9204,0.1679,6.2851,0.0803,1.4819,0.4526,0.9709,0.0949,0.4161,0,0,0.1752,28.0385,18.6656,0.3066,,10.6,12.6,0.033818182,0.000363636,0.006727273,0.026727273,550000,,1.075268817,,1.2525,8.5288,1.0537,0,23.8171,0.338,0.3976,1.4513,3.4394,3.2207,0.4374,0.0795,0.4374,2.2068,0.497,1.8887,0.1789,0,3.6183,0.0596,41.4712,4.493,1.1332,,3.9814,0.0363,9.7559,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0,0.0258,0.9471,6.6338,40.2437,,0.3173,18.5332,0.0649,0.0072,20.5668,1.0024,2.3004,0.649,8.4734,6.3172,0.3678,0.3534,5.2138,0.6707,1.0673,0.2885,0,0,0.0505,31.4704,0.0361,1.6875,0.5625
